food_name,time,url
Härkis-nachopelti,alle 30 min,https://public.keskofiles.com/f/recipe/harkis_nachopelti_KR4_21?w=400&h=225&fit=crop&q=60&fm=jpg
Kukkatorttu,30 - 60 min,https://public.keskofiles.com/f/recipe/kukkajoulutortut_20?w=400&h=225&fit=crop&q=60&fm=jpg
Munajuusto,yli 60 min,https://public.keskofiles.com/f/recipe/munajuusto_KR4_21?w=400&h=225&fit=crop&q=60&fm=jpg
Kastike kinkulle ilman paistolientä,alle 15 min,https://public.keskofiles.com/f/recipe/kinkunkastike_20?w=400&h=225&fit=crop&q=60&fm=jpg
Bataattibrownie,yli 60 min,https://public.keskofiles.com/f/recipe/bataattibrownie_KR3_21?w=400&h=225&fit=crop&q=60&fm=jpg
Jäädytetty appelsiini-suklaajuustokakku,yli 60 min,https://public.keskofiles.com/f/recipe/jaady_appel_sukl_KR3_21?w=400&h=225&fit=crop&q=60&fm=jpg
Punaviinirisotto,30 - 60 min,https://public.keskofiles.com/f/recipe/punaviinirisotto_KR3_21?w=400&h=225&fit=crop&q=60&fm=jpg
Lumihiutaletortut,alle 30 min,https://public.keskofiles.com/f/recipe/lumihiutaletor_KR1_21?w=400&h=225&fit=crop&q=60&fm=jpg
Kandeeratut appelsiininkuoret,yli 60 min,https://public.keskofiles.com/f/recipe/appelsiinijuusto_KR1_21?w=400&h=225&fit=crop&q=60&fm=jpg
Karpalojuustokakku,yli 60 min,https://public.keskofiles.com/f/recipe/karpalojuustoka_KR1_21?w=400&h=225&fit=crop&q=60&fm=jpg
Vegaaninen glögijuustokakku,yli 60 min,https://public.keskofiles.com/f/recipe/Vegaaninen_glo_KR1_21?w=400&h=225&fit=crop&q=60&fm=jpg
Gluteeniton maustekakku,yli 60 min,https://public.keskofiles.com/f/recipe/gluteeniton_mau_KR1_21?w=400&h=225&fit=crop&q=60&fm=jpg
Appelsiinijuustokakku,yli 60 min,https://public.keskofiles.com/f/recipe/appelsiinijuusto_KR1_21?w=400&h=225&fit=crop&q=60&fm=jpg
Appelsiinimarinoidut jättikatkaravunpyrstöt,yli 60 min,https://public.keskofiles.com/f/recipe/jattikatkaravun_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Lohiterriini,yli 60 min,https://public.keskofiles.com/f/recipe/lohiterriini_KR1_21?w=400&h=225&fit=crop&q=60&fm=jpg
Vegaaninen silli,yli 60 min,https://public.keskofiles.com/f/recipe/vegaaninen_silli_2020?w=400&h=225&fit=crop&q=60&fm=jpg
Biscoff-juustokakku,yli 60 min,https://public.keskofiles.com/f/recipe/biscoff_juustoka_KR1_21?w=400&h=225&fit=crop&q=60&fm=jpg
Luonnonkala-ruisnapit,alle 15 min,https://public.keskofiles.com/f/recipe/luonnonkalaruisnapit?w=400&h=225&fit=crop&q=60&fm=jpg
Granaattiomenakuorrute,alle 15 min,https://public.keskofiles.com/f/recipe/kakunkuorrutus_20?w=400&h=225&fit=crop&q=60&fm=jpg
Pororullat,alle 15 min,https://public.keskofiles.com/f/recipe/pororullat_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Donitsipiparit,30 - 60 min,https://public.keskofiles.com/f/recipe/donitsipiparit_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Maustepaahdettua siikaa ja siianmäti-piimäkastiketta,yli 60 min,https://public.keskofiles.com/f/recipe/maustepaahdettua_siikaa_20?w=400&h=225&fit=crop&q=60&fm=jpg
Härkätartar ja metsäsienimuhennosta,30 - 60 min,https://public.keskofiles.com/f/recipe/harkatartar_20?w=400&h=225&fit=crop&q=60&fm=jpg
Omenamehussa haudutettua uuniomenaa ja suolakaramellia,yli 60 min,https://public.keskofiles.com/f/recipe/uuniomena_20?w=400&h=225&fit=crop&q=60&fm=jpg
Vegaaninen juureslaatikko,yli 60 min,https://public.keskofiles.com/f/recipe/vegaaninen_juur_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Suklaatryffelit,yli 60 min,https://public.keskofiles.com/f/recipe/suklaatryffelit_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Vaalea glögijuustokakku,yli 60 min,https://public.keskofiles.com/f/recipe/vaalea_glogiju_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Juustokranssi,alle 30 min,https://public.keskofiles.com/f/recipe/Juustokranssi_KR11_20?w=400&h=225&fit=crop&q=60&fm=jpg
Sydänjoulutortut,30 - 60 min,https://public.keskofiles.com/f/recipe/sydanjoulutortu_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Kukkakaali-klementiinisalaatti,30 - 60 min,https://public.keskofiles.com/f/recipe/kukkakaali_klem_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Katkarapusalaattitacot,alle 30 min,https://public.keskofiles.com/f/recipe/katkarapusalaat_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Jouluinen klementiinirahka,alle 15 min,https://public.keskofiles.com/f/recipe/jouluinen_klem_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Kirsikkakompotti,yli 60 min,https://public.keskofiles.com/f/recipe/Kirsikkakompott_KR11_20?w=400&h=225&fit=crop&q=60&fm=jpg
Lohitartar,yli 60 min,https://public.keskofiles.com/f/recipe/lohitartar_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Nachopelti siivistä,alle 30 min,https://public.keskofiles.com/f/recipe/nachopelti_siiv_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Päärynä-lehtikaalisalaatti,alle 15 min,https://public.keskofiles.com/f/recipe/paaryna_lehtik_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Rocky road -jäätelö,yli 60 min,https://public.keskofiles.com/f/recipe/rocky_road_jaat_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Cokiskinkku,yli 60 min,https://public.keskofiles.com/f/recipe/Cokiskinkku_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Kalkkunafilee ja karpalokastike,30 - 60 min,https://public.keskofiles.com/f/recipe/kalkkunafilee_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Joululohi,30 - 60 min,https://public.keskofiles.com/f/recipe/joululohi_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Perunapannari,30 - 60 min,https://public.keskofiles.com/f/recipe/perunapannari_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Suolaiset joulutortut,30 - 60 min,https://public.keskofiles.com/f/recipe/Suolaisetjoulut_KR11_20?w=400&h=225&fit=crop&q=60&fm=jpg
Pekoni-päärynät,alle 30 min,https://public.keskofiles.com/f/recipe/Pekoni_paarynat_KR11_20?w=400&h=225&fit=crop&q=60&fm=jpg
Katajainen kotikalja,yli 60 min,https://public.keskofiles.com/f/recipe/katajainen_koti_KR12_20?w=400&h=225&fit=crop&q=60&fm=jpg
Klementiinisalaatti,alle 30 min,https://public.keskofiles.com/f/recipe/Klementiinisala_KR11_20?w=400&h=225&fit=crop&q=60&fm=jpg
Luumukakku,yli 60 min,https://public.keskofiles.com/f/recipe/Luumukakku_KR11_20?w=400&h=225&fit=crop&q=60&fm=jpg
Lakritsikaakao,alle 15 min,https://public.keskofiles.com/f/recipe/Lakritsikaakao_KR11_20?w=400&h=225&fit=crop&q=60&fm=jpg
Paahdetut viinirypäleet,alle 30 min,https://public.keskofiles.com/f/recipe/Paahdetut_viini_KR11_20?w=400&h=225&fit=crop&q=60&fm=jpg
